Rank,Dataset,C_used,Penalty_used,Accuracy,Sensitivity,Specificity,F1_Score,MCC,AUC,Features
1,ESM2,0.01,l2,0.7004,0.6301,0.7472,0.6269,0.3767,0.7449,1280
2,ProtT5,0.01,l2,0.6731,0.6336,0.6993,0.6076,0.329,0.7423,1024
3,BioBERT,0.1,l2,0.684,0.6404,0.713,0.6182,0.3498,0.7289,768
4,ESMC,0.01,l2,0.6594,0.5788,0.713,0.5758,0.2913,0.7225,1152
5,ProtBERT,0.01,l2,0.6279,0.5856,0.656,0.557,0.2384,0.6606,1024
6,DPC,0.001,l2,0.5554,0.5411,0.5649,0.493,0.104,0.5775,400
7,AAC,1.0,l1,0.5581,0.5822,0.5421,0.5128,0.1218,0.5753,20
8,PAAC,1.0,l2,0.5445,0.5548,0.5376,0.4932,0.0905,0.5745,23
9,CTDC,1.0,l2,0.5171,0.5514,0.4943,0.477,0.0448,0.5492,21
10,CTDT,1.0,l2,0.5226,0.5205,0.5239,0.4655,0.0436,0.5306,21
11,GAAC,0.1,l2,0.5007,0.5788,0.4487,0.4808,0.0272,0.5121,5
