Dataset,boosting_type,subsample,n_estimators,num_leaves,max_depth,learning_rate,min_child_samples,colsample_bytree,reg_alpha,reg_lambda,min_split_gain,scale_pos_weight,path_smooth,extra_trees,best_iter,CV_AUC,Test_AUC
AAC,dart,0.9078633354537415,395,55,3,0.21507735307269524,40,0.9568252525908645,0.0005406028021611593,2.874600742191278e-07,1.2841464410865684,1.563325762013081,0.047139517128263815,False,0,0.8243,0.812
DPC,dart,0.8376883610401565,232,253,18,0.07707554292265381,5,0.41764716970202986,0.0022563677242359637,2.0520905158269305e-05,0.9527819698057107,2.959365249543598,0.5283877769440942,False,0,0.7936,0.797
CTDC,dart,0.8013411169418938,406,49,9,0.10036132475762793,15,0.30388467040313244,1.5312670436272652e-06,0.7725378235012684,1.9083528449862146,1.9388925580831655,0.13240832569905364,False,0,0.8109,0.8167
CTDT,gbdt,0.864612980213112,302,60,15,0.00891649471265699,23,0.34986997719904867,0.0210479774857713,0.00011300435498839922,3.648442644611852,1.9985493746735346,0.35373622367267477,False,259,0.8017,0.807
GAAC,gbdt,0.8924302124150274,358,71,17,0.01448623917237611,27,0.569816029856747,0.003616082329342683,0.061213211060715485,1.2091803923723659,2.10716341236408,0.6241728156167445,False,192,0.804,0.7954
PAAC,goss,1.0,492,39,12,0.006117956959350267,10,0.3609400320124921,0.012458917662616942,1.0849655718786726,0.495988663899962,1.4316867019281774,0.022003902797091975,False,311,0.7976,0.7861
ProtBERT,goss,1.0,340,77,16,0.012879918840180325,10,0.7930064972122185,0.0030540291481101047,1.1874853707754382e-08,1.58231141193988,1.0205941803286749,0.31229730545132967,True,124,0.6276,0.6503
ProtT5,dart,0.6590895396244573,266,67,19,0.06036640264606619,7,0.44501420356559473,0.00037096827501062083,0.0006497066762041416,0.013797479344773288,1.035963166295369,0.24910193642882153,True,0,0.7305,0.7403
ESM2,dart,0.817700659634779,428,164,16,0.12425123112976347,59,0.944791709622791,0.0006827731572352935,3.310552915004044e-05,0.28361120871683676,1.4422516991962353,0.6784477932665421,True,0,0.7165,0.7214
BioBERT,dart,0.9339364617437717,395,182,19,0.21182679103339974,95,0.6586857768614724,0.0008238041112467296,0.004265316742647786,1.5008318291214628,1.7162363957661744,0.7176793670429211,True,0,0.7351,0.7429
ESMC,gbdt,0.7711919658823971,366,116,5,0.03132275308159979,59,0.6247917043059651,5.843339231593486e-07,0.00013304071070443304,0.048885309464637317,1.0548648319540526,0.12622265225575607,True,180,0.7191,0.7186
