Rank,Dataset,NB_Type,CV_AUC,Accuracy,Sensitivity,Specificity,F1_Score,MCC,AUC,Best_Trial,Features
1,DPC,bernoulli,0.7594,0.7565,0.6616,0.8198,0.685,0.4877,0.7744,91,400
2,ESMC,bernoulli,0.6568,0.6575,0.5513,0.7284,0.5631,0.2819,0.6778,91,1152
3,BioBERT,bernoulli,0.7003,0.6454,0.5703,0.6954,0.5629,0.2647,0.6757,76,768
4,PAAC,bernoulli,0.6627,0.6636,0.4867,0.7817,0.5367,0.2806,0.6726,31,23
5,AAC,bernoulli,0.687,0.6621,0.4829,0.7817,0.5336,0.277,0.6718,34,20
6,ProtT5,bernoulli,0.6701,0.6393,0.6084,0.6599,0.5745,0.2643,0.6565,14,1024
7,ESM2,gaussian,0.6635,0.6104,0.4639,0.7081,0.488,0.1755,0.6138,10,1280
8,GAAC,bernoulli,0.5893,0.6195,0.2053,0.8959,0.3017,0.1411,0.6107,67,5
9,CTDC,bernoulli,0.6167,0.586,0.3992,0.7107,0.4357,0.1142,0.5855,61,21
10,CTDT,bernoulli,0.6527,0.5799,0.3688,0.7208,0.4128,0.0945,0.5849,88,21
11,ProtBERT,bernoulli,0.6217,0.5677,0.5019,0.6117,0.4818,0.1123,0.5664,99,1024
