Rank,Dataset,CV_AUC,Best_Iter,Accuracy,Sensitivity,Specificity,F1_Score,MCC,AUC,Best_Trial,Features
1,CTDC,0.818,211,0.79,0.7338,0.8274,0.7366,0.562,0.8304,81,21
2,AAC,0.8303,0,0.7428,0.7947,0.7081,0.7121,0.4927,0.8215,76,20
3,CTDT,0.814,55,0.7976,0.7376,0.8376,0.7447,0.5771,0.8072,72,21
4,GAAC,0.807,20,0.7397,0.7529,0.731,0.6984,0.4754,0.8072,69,5
5,PAAC,0.8024,79,0.7671,0.6882,0.8198,0.7029,0.5119,0.7904,86,23
6,ProtT5,0.741,170,0.688,0.597,0.7487,0.605,0.3473,0.7241,82,1024
7,BioBERT,0.7622,287,0.6606,0.6578,0.6624,0.6081,0.3145,0.7184,62,768
8,ESM2,0.7268,0,0.6804,0.6236,0.7183,0.6097,0.3395,0.7091,52,1280
9,ESMC,0.7215,18,0.6499,0.5627,0.7081,0.5627,0.2709,0.6838,52,1152
10,DPC,0.8104,4,0.5997,0.0,1.0,0.0,0.0,0.6305,56,400
11,ProtBERT,0.6665,3,0.5997,0.0,1.0,0.0,0.0,0.6066,67,1024
