Rank,Dataset,CV_AUC,Best_Iter,Accuracy,Sensitivity,Specificity,F1_Score,MCC,AUC,Best_Trial,Features
1,DPC,0.8308,79,0.8143,0.711,0.8832,0.754,0.6086,0.8468,95,400
2,CTDT,0.8142,84,0.8021,0.6806,0.8832,0.7336,0.5822,0.8264,53,21
3,AAC,0.8348,38,0.7991,0.6844,0.8756,0.7317,0.5759,0.8192,3,20
4,CTDC,0.8199,119,0.7854,0.7529,0.8071,0.7374,0.5564,0.8186,41,21
5,GAAC,0.8162,15,0.796,0.6578,0.8883,0.7208,0.5689,0.8139,93,5
6,PAAC,0.7891,101,0.7382,0.5741,0.8477,0.6371,0.4427,0.7899,92,23
7,BioBERT,0.7577,83,0.7078,0.5513,0.8122,0.6017,0.3778,0.7356,71,768
8,ProtT5,0.7433,151,0.7002,0.4487,0.868,0.545,0.3543,0.7237,37,1024
9,ESMC,0.722,16,0.6408,0.616,0.6574,0.5786,0.2691,0.6859,64,1152
10,ESM2,0.7249,20,0.6712,0.5741,0.736,0.583,0.3119,0.6843,44,1280
11,ProtBERT,0.6562,59,0.6393,0.3042,0.8629,0.403,0.2032,0.6496,69,1024
