Accuracy,Sensitivity,Specificity,F1_Score,MCC,AUC,TP,TN,FP,FN,Dataset,Features,CV_AUC,Best_Trial,Train_N,Test_N,param_max_depth,param_bootstrap,param_max_samples,param_n_estimators,param_criterion,param_min_samples_split,param_min_samples_leaf,param_max_features,param_class_weight,param_min_impurity_decrease
0.7962,0.6575,0.8884,0.7205,0.5688,0.8185,192,390,49,100,AAC,20,0.8206,70,1704,731,23.0,True,0.5423375390325311,227,entropy,5,1,1.0,balanced_subsample,0.005003880304873979
0.7811,0.6404,0.8747,0.7004,0.5361,0.7942,187,384,55,105,DPC,400,0.7943,75,1704,731,28.0,True,0.5476808311072088,274,entropy,9,1,log2,balanced_subsample,0.0016663383450379635
0.8098,0.7123,0.8747,0.7495,0.5991,0.8245,208,384,55,84,CTDC,21,0.7993,72,1704,731,14.0,True,0.909290198833115,238,entropy,19,10,0.7,balanced_subsample,0.0017575187812497598
0.8057,0.6712,0.8952,0.7341,0.5896,0.8129,196,393,46,96,CTDT,21,0.7965,81,1704,731,10.0,True,0.9594797856217938,363,entropy,12,7,0.7,balanced_subsample,0.00216711512603459
0.7934,0.6747,0.8724,0.7229,0.5633,0.7992,197,383,56,95,GAAC,5,0.7972,20,1704,731,,True,0.6770817201508793,167,log_loss,2,1,log2,balanced,0.00449698514178375
0.7538,0.5342,0.8998,0.6341,0.4768,0.7732,156,395,44,136,PAAC,23,0.7926,81,1704,731,11.0,True,0.7123305822344673,300,entropy,12,1,1.0,,0.000352083768084765
0.6676,0.2603,0.9385,0.3848,0.2798,0.6538,76,412,27,216,ProtBERT,1024,0.6245,74,1704,731,,True,0.7088406647325926,371,entropy,14,2,1.0,balanced_subsample,0.006328825644675826
0.7114,0.4726,0.8702,0.5667,0.3796,0.7434,138,382,57,154,ProtT5,1024,0.7301,91,1704,731,20.0,False,,311,entropy,4,7,0.3,balanced_subsample,0.0010429051555048167
0.7114,0.4075,0.9134,0.5301,0.3828,0.7299,119,401,38,173,ESM2,1280,0.7121,97,1704,731,,True,0.8994812499317606,392,log_loss,5,1,0.3,,0.005727214714644904
0.7278,0.4795,0.8929,0.5846,0.418,0.7597,140,392,47,152,BioBERT,768,0.7402,97,1704,731,16.0,False,,476,entropy,12,1,0.3,,0.0043103482584465795
0.6895,0.387,0.8907,0.4989,0.3281,0.7188,113,391,48,179,ESMC,1152,0.7155,90,1704,731,,True,0.9964932117930638,255,log_loss,7,3,1.0,balanced_subsample,0.00619339275836764
