Dataset,kernel,C,class_weight,shrinking,gamma,degree,coef0,CV_AUC,Test_AUC
AAC,rbf,0.06370213884665078,balanced,True,auto,3,0.0,0.6153,0.5821
DPC,rbf,4.47460929948933,balanced,True,auto,3,0.0,0.6925,0.6834
CTDC,rbf,1.069839983191125,balanced,False,scale,3,0.0,0.5922,0.5597
CTDT,sigmoid,123.90199608834513,,True,0.0043919923523738245,3,-0.9300687005425607,0.592,0.5783
GAAC,rbf,1.2271306182092805,,False,9.90513349950699,3,0.0,0.638,0.6516
PAAC,rbf,0.45388897250299914,balanced,True,auto,3,0.0,0.6219,0.6076
ProtBERT,rbf,1.3608382990296501,,False,auto,3,0.0,0.6955,0.6873
ProtT5,rbf,4.288303008869907,balanced,False,auto,3,0.0,0.755,0.7359
ESM2,linear,0.008298342235412445,,True,scale,3,0.0,0.7525,0.7456
BioBERT,rbf,1.3575935866924753,,True,scale,3,0.0,0.7475,0.7322
ESMC,poly,15.689929657917906,,False,0.00020648898673587604,4,0.47200972806273866,0.7262,0.7421
