Rank,Dataset,Leaves_used,Best_iter,Accuracy,Sensitivity,Specificity,F1_Score,MCC,AUC,Features
1,AAC,31,61,0.7866,0.6952,0.8474,0.7224,0.5506,0.8304,20
2,CTDC,31,70,0.7934,0.7158,0.8451,0.7346,0.5662,0.8252,21
3,CTDT,127,31,0.7907,0.6918,0.8565,0.7253,0.5586,0.8077,21
4,GAAC,15,36,0.8057,0.6849,0.8861,0.738,0.5896,0.7979,5
5,DPC,31,56,0.7332,0.6575,0.7836,0.6632,0.4424,0.784,400
6,PAAC,127,29,0.7442,0.5925,0.8451,0.6492,0.4559,0.7746,23
7,BioBERT,127,28,0.7114,0.5445,0.8223,0.6011,0.3839,0.7482,768
8,ProtT5,127,26,0.6826,0.5,0.8041,0.5573,0.32,0.712,1024
9,ESM2,63,26,0.6785,0.4658,0.82,0.5365,0.3072,0.7116,1280
10,ESMC,31,40,0.6799,0.5205,0.7859,0.5651,0.3176,0.7049,1152
11,ProtBERT,63,40,0.6443,0.3938,0.8109,0.4694,0.2257,0.6724,1024
