Rank,Dataset,CV_AUC,Accuracy,Sensitivity,Specificity,F1_Score,MCC,AUC,Best_Trial,Features
1,CTDC,0.7714,0.7291,0.6654,0.7716,0.6629,0.4364,0.7846,74,21
2,GAAC,0.7639,0.7839,0.635,0.8832,0.7017,0.5425,0.7803,12,5
3,AAC,0.7907,0.7321,0.692,0.7589,0.6741,0.4474,0.7779,56,20
4,CTDT,0.7437,0.7549,0.5133,0.9162,0.6265,0.4824,0.7485,21,21
5,DPC,0.7121,0.6895,0.6654,0.7056,0.6318,0.3659,0.7252,76,400
6,PAAC,0.7074,0.6575,0.5932,0.7005,0.581,0.2918,0.6751,31,23
7,BioBERT,0.6485,0.621,0.4563,0.731,0.4908,0.1931,0.635,58,768
8,ProtT5,0.645,0.5799,0.6008,0.566,0.5338,0.1634,0.6319,77,1024
9,ESMC,0.6327,0.6195,0.4677,0.7208,0.496,0.193,0.6198,75,1152
10,ESM2,0.6256,0.5434,0.5665,0.5279,0.4983,0.0926,0.5767,26,1280
11,ProtBERT,0.5775,0.5525,0.3954,0.6574,0.4143,0.0538,0.5365,75,1024
