Dataset,iterations,depth,learning_rate,l2_leaf_reg,random_strength,bagging_temperature,border_count,grow_policy,min_data_in_leaf,leaf_estimation_method,class_weights,best_iter,CV_AUC,Test_AUC
AAC,362,6,0.06086345951529628,0.002088967922999206,0.0005267412561473546,0.34625485649349735,115,SymmetricTree,42,Gradient,"[1.0, 1.175942739580917]",30,0.8279,0.8078
DPC,356,9,0.16932042294768004,0.5647604998986604,3.83357817176441e-05,0.22625843049784536,157,Depthwise,3,Gradient,"[1.0, 1.0917668582531892]",185,0.8227,0.8224
CTDC,314,3,0.22726450167935866,3.37600975735303,0.00023681607408289503,0.5037169413579844,180,SymmetricTree,35,Gradient,"[1.0, 1.3542721462839442]",119,0.8134,0.8123
CTDT,293,5,0.10036527925451622,0.01926610750332587,6.0998979281952334e-09,0.2580030548129714,35,Lossguide,30,Gradient,"[1.0, 1.4708369704427322]",120,0.8069,0.8113
GAAC,352,4,0.13737715749192697,0.009419764524068445,0.000633046810409285,0.564170253277985,77,SymmetricTree,19,Gradient,"[1.0, 1.0342581353096807]",18,0.8088,0.8039
PAAC,252,10,0.07417996934962008,4.336966458641839,0.022570850073664682,0.19548395981192881,227,Lossguide,43,Newton,"[1.0, 1.3681641222799428]",88,0.7976,0.7815
ProtBERT,295,10,0.005765728763129735,0.3007016232607128,1.5368363099811402e-09,0.4001017219296104,33,Lossguide,16,Gradient,"[1.0, 1.5106236438203147]",68,0.6179,0.6595
ProtT5,405,10,0.02232851000001986,0.0017982648924397067,7.598050361084385e-08,0.3775153228519102,166,Depthwise,25,Gradient,"[1.0, 1.8137651160219368]",153,0.7281,0.7422
ESM2,497,4,0.06739230130754793,0.1607597958374054,2.5853398983026732e-08,0.3765283148848235,182,Depthwise,46,Gradient,"[1.0, 1.2954890565778274]",83,0.7119,0.7129
BioBERT,446,7,0.04417351486976436,0.09038783782159326,2.6693920561952584e-05,0.2809851506987555,115,Depthwise,7,Gradient,"[1.0, 1.1809973092457147]",105,0.7449,0.7583
ESMC,156,9,0.007566125088356376,1.6667864390980935,3.0509075599605206e-07,0.8100078310638421,253,Depthwise,16,Gradient,"[1.0, 1.2785014372754246]",139,0.7133,0.7137
