Rank,Dataset,Accuracy,Sensitivity,Specificity,F1_Score,MCC,AUC,Features
1,CTDC,0.7825,0.6027,0.9021,0.6888,0.5397,0.8221,21
2,CTDT,0.7756,0.5685,0.9134,0.6694,0.5262,0.8168,21
3,AAC,0.7962,0.6267,0.9089,0.7107,0.5697,0.8118,20
4,DPC,0.7661,0.5616,0.9021,0.6573,0.5041,0.8053,400
5,PAAC,0.7565,0.5137,0.918,0.6276,0.4855,0.781,23
6,GAAC,0.7428,0.6336,0.8155,0.6631,0.4571,0.7425,5
7,BioBERT,0.7127,0.4178,0.9089,0.5374,0.3853,0.7411,768
8,ESM2,0.6963,0.3527,0.9248,0.4813,0.3494,0.7149,1280
9,ProtT5,0.6813,0.3288,0.9157,0.4518,0.3104,0.7145,1024
10,ESMC,0.684,0.3356,0.9157,0.459,0.3172,0.6987,1152
11,ProtBERT,0.632,0.1678,0.9408,0.267,0.1753,0.6497,1024
