Accuracy,Sensitivity,Specificity,F1_Score,MCC,AUC,TP,TN,FP,FN,Dataset,Features,CV_AUC,Best_Trial,Train_N,Test_N,param_criterion,param_splitter,param_min_samples_split,param_min_samples_leaf,param_max_features,param_class_weight,param_ccp_alpha,param_max_depth
0.725,0.6918,0.7472,0.6678,0.4345,0.7667,202,328,111,90,AAC,20,0.7735,74,1704,731,entropy,best,18,14,,balanced,0.0028510545265397593,
0.658,0.5993,0.697,0.5833,0.294,0.6515,175,306,133,117,DPC,400,0.6972,72,1704,731,gini,best,2,20,,balanced,0.00034287078095178534,27.0
0.7674,0.5856,0.8884,0.668,0.5062,0.7786,171,390,49,121,CTDC,21,0.7597,74,1704,731,gini,best,12,13,,balanced,0.00470135562682536,6.0
0.7606,0.5171,0.9226,0.6331,0.4953,0.7439,151,405,34,141,CTDT,21,0.7593,90,1704,731,entropy,best,11,20,,,0.006908609830445854,15.0
0.7729,0.5856,0.8975,0.6732,0.5186,0.7674,171,394,45,121,GAAC,5,0.7628,98,1704,731,gini,best,6,15,,balanced,0.002460075257346899,
0.6635,0.6233,0.6902,0.5967,0.3097,0.6847,182,303,136,110,PAAC,23,0.7292,93,1704,731,gini,best,17,19,,balanced,0.0011406380879180828,21.0
0.5226,0.4144,0.5945,0.4095,0.0089,0.5212,121,261,178,171,ProtBERT,1024,0.5427,50,1704,731,log_loss,random,11,1,log2,balanced,0.0014879323721677345,
0.6279,0.5514,0.6788,0.5421,0.229,0.6369,161,298,141,131,ProtT5,1024,0.6218,75,1704,731,gini,best,10,15,,balanced,0.004933621418645445,
0.5869,0.6507,0.5444,0.5572,0.1915,0.6487,190,239,200,102,ESM2,1280,0.6254,76,1704,731,entropy,best,16,9,,balanced,0.003952896180304377,4.0
0.5992,0.5548,0.6287,0.5251,0.1809,0.5885,162,276,163,130,BioBERT,768,0.6375,93,1704,731,gini,best,18,1,log2,,0.005609350885859245,
0.6621,0.3219,0.8884,0.4322,0.2597,0.6325,94,390,49,198,ESMC,1152,0.6361,82,1704,731,gini,best,17,15,,,0.006530942651780442,6.0
