Accuracy,Sensitivity,Specificity,F1_Score,MCC,AUC,TP,TN,FP,FN,Dataset,Features,CV_AUC,Best_Trial,Train_N,Test_N,param_max_depth,param_bootstrap,param_max_leaf_nodes,param_n_estimators,param_criterion,param_min_samples_split,param_min_samples_leaf,param_max_features,param_class_weight,param_min_impurity_decrease,param_max_samples
0.7962,0.6096,0.9203,0.705,0.5711,0.8181,178,404,35,114,AAC,20,0.822,94,1704,731,22.0,False,188.0,202,log_loss,12,5,1.0,,0.0012988610245584747,
0.7346,0.6336,0.8018,0.656,0.4412,0.7733,185,352,87,107,DPC,400,0.7724,94,1704,731,27.0,True,306.0,478,entropy,10,1,1.0,balanced,0.005155026457217483,0.6551459744918486
0.7948,0.6918,0.8633,0.7292,0.567,0.8117,202,379,60,90,CTDC,21,0.7886,43,1704,731,,True,,348,entropy,13,1,1.0,balanced_subsample,0.0026846094548406,0.8029721277492256
0.7633,0.524,0.9226,0.6388,0.5012,0.8064,153,405,34,139,CTDT,21,0.7934,92,1704,731,,False,42.0,446,gini,14,4,1.0,,0.0010338638573868055,
0.7209,0.4041,0.9317,0.5364,0.4093,0.7902,118,409,30,174,GAAC,5,0.7836,93,1704,731,,False,,472,gini,9,16,1.0,,0.0004118919116499808,
0.7524,0.5514,0.8861,0.6402,0.4729,0.7782,161,389,50,131,PAAC,23,0.7886,65,1704,731,,True,,142,entropy,7,1,1.0,balanced_subsample,0.0017015289908465694,0.8876163290612189
0.6512,0.2329,0.9294,0.3478,0.2323,0.66,68,408,31,224,ProtBERT,1024,0.6192,73,1704,731,26.0,False,,408,log_loss,4,4,0.3,,0.0005143429457277722,
0.7182,0.4075,0.9248,0.536,0.4011,0.7502,119,406,33,173,ProtT5,1024,0.7327,93,1704,731,24.0,False,,445,entropy,15,11,1.0,,0.0014024580087469477,
0.6908,0.4932,0.8223,0.5603,0.336,0.7295,144,361,78,148,ESM2,1280,0.7102,96,1704,731,22.0,False,,462,gini,11,9,0.7,balanced,0.001034376971337872,
0.7196,0.4589,0.8929,0.5666,0.3993,0.7575,134,392,47,158,BioBERT,768,0.7463,65,1704,731,26.0,False,283.0,465,entropy,2,3,0.7,,0.0009714708066167813,
0.6922,0.3664,0.9089,0.4875,0.3364,0.723,107,399,40,185,ESMC,1152,0.716,50,1704,731,,False,199.0,311,log_loss,9,7,1.0,,0.0020759919469636435,
