Rank,Dataset,Kernel_used,Accuracy,Sensitivity,Specificity,F1_Score,MCC,AUC,Features
1,ESMC,rbf,0.7047,0.5513,0.8071,0.5992,0.3717,0.7336,1152
2,ESM2,rbf,0.7093,0.5779,0.797,0.6141,0.3843,0.7299,1280
3,BioBERT,rbf,0.7291,0.597,0.8173,0.6382,0.4259,0.7263,768
4,ProtT5,rbf,0.7154,0.5589,0.8198,0.6112,0.3941,0.722,1024
5,DPC,poly,0.5662,0.8669,0.3655,0.6154,0.2558,0.6982,400
6,ProtBERT,rbf,0.6621,0.5703,0.7234,0.5747,0.2945,0.6813,1024
7,AAC,rbf,0.5723,0.6122,0.5457,0.534,0.1548,0.6182,20
8,PAAC,rbf,0.5738,0.6008,0.5558,0.5302,0.1535,0.6172,23
9,CTDT,rbf,0.5449,0.6008,0.5076,0.5138,0.1065,0.5889,21
10,CTDC,rbf,0.5327,0.635,0.4645,0.5211,0.0986,0.559,21
11,GAAC,poly,0.4444,0.8213,0.1929,0.542,0.0178,0.5328,5
