Rank,Dataset,K_used,Accuracy,Sensitivity,Specificity,F1_Score,MCC,AUC,Features
1,BioBERT,15,0.7032,0.4525,0.8706,0.5497,0.3614,0.7236,768
2,ESMC,15,0.6667,0.403,0.8426,0.4919,0.2759,0.7022,1152
3,ESM2,11,0.6773,0.4106,0.8553,0.5047,0.3005,0.6871,1280
4,ProtT5,5,0.6377,0.4829,0.7411,0.5163,0.2303,0.6743,1024
5,DPC,3,0.5434,0.8289,0.3528,0.5924,0.1983,0.6684,400
6,ProtBERT,5,0.6408,0.4715,0.7538,0.5124,0.2336,0.6592,1024
7,GAAC,13,0.6058,0.2776,0.8249,0.3605,0.1219,0.6499,5
8,PAAC,3,0.5632,0.5247,0.5888,0.4902,0.1117,0.6212,23
9,AAC,13,0.6012,0.5513,0.6345,0.5254,0.1834,0.6191,20
10,CTDT,3,0.5632,0.4981,0.6066,0.4772,0.1035,0.5737,21
11,CTDC,7,0.5616,0.403,0.6675,0.424,0.072,0.5724,21
