Rank,Dataset,CV_AUC,Accuracy,Sensitivity,Specificity,F1_Score,MCC,AUC,Best_Trial,Features
1,ESM2,0.7525,0.7184,0.5247,0.8477,0.5987,0.3977,0.7456,49,1280
2,ESMC,0.7262,0.7032,0.4677,0.8604,0.5578,0.3617,0.7421,13,1152
3,ProtT5,0.755,0.7093,0.5741,0.7995,0.6126,0.3838,0.7359,80,1024
4,BioBERT,0.7475,0.7321,0.5209,0.8731,0.6089,0.4278,0.7322,79,768
5,ProtBERT,0.6955,0.6865,0.4411,0.8503,0.5297,0.3229,0.6873,92,1024
6,DPC,0.6925,0.6606,0.5095,0.7614,0.5458,0.2789,0.6834,72,400
7,GAAC,0.638,0.6088,0.2548,0.8452,0.3427,0.1236,0.6516,78,5
8,PAAC,0.6219,0.5723,0.597,0.5558,0.5277,0.1497,0.6076,64,23
9,AAC,0.6153,0.5616,0.5513,0.5685,0.5017,0.1176,0.5821,80,20
10,CTDT,0.592,0.6027,0.076,0.9543,0.1329,0.0637,0.5783,79,21
11,CTDC,0.5922,0.5312,0.635,0.4619,0.5202,0.0961,0.5597,96,21
