Accuracy,Sensitivity,Specificity,F1_Score,MCC,AUC,TP,TN,FP,FN,Dataset,Features,CV_AUC,Best_Trial,Train_N,Test_N,param_penalty,param_solver,param_C,param_max_iter,param_class_weight,param_fit_intercept,param_tol,param_l1_ratio
0.5349,0.5582,0.5194,0.4895,0.076,0.5714,163,228,211,129,AAC,20,0.5809,49,1704,731,l2,lbfgs,0.012660539425408096,4180,balanced,False,0.009969069558221856,
0.5746,0.5719,0.5763,0.5178,0.1453,0.5835,167,253,186,125,DPC,400,0.5981,57,1704,731,elasticnet,saga,0.009135035365181395,2669,,False,1.407333028455948e-05,0.1479524429115764
0.5239,0.5548,0.5034,0.4821,0.0571,0.5302,162,221,218,130,CTDC,21,0.5597,25,1704,731,elasticnet,saga,0.029986361043087977,409,,False,1.8815531348690223e-06,0.9696048638251105
0.5308,0.5411,0.5239,0.4795,0.0637,0.52,158,230,209,134,CTDT,21,0.5457,71,1704,731,elasticnet,saga,0.04424618409801989,2345,,False,6.110320799197055e-06,0.4227716423460555
0.4911,0.5685,0.4396,0.4716,0.008,0.5115,166,193,246,126,GAAC,5,0.5268,73,1704,731,l2,liblinear,0.0001548734956442606,4990,,False,0.008193449288766936,
0.5376,0.6096,0.4897,0.513,0.0978,0.564,178,215,224,114,PAAC,23,0.5873,92,1704,731,l2,liblinear,0.000467331823419684,3851,balanced,True,9.572676788442446e-05,
0.6662,0.3596,0.8702,0.4626,0.2709,0.6614,105,382,57,187,ProtBERT,1024,0.6444,81,1704,731,l2,newton-cg,0.0012902632506281194,1119,,True,8.212589003960868e-06,
0.6648,0.6712,0.6606,0.6154,0.3256,0.7382,196,290,149,96,ProtT5,1024,0.7043,72,1704,731,l2,liblinear,0.004511980169981691,2256,balanced,False,1.1929479442416498e-05,
0.699,0.6747,0.7153,0.6417,0.3847,0.7475,197,314,125,95,ESM2,1280,0.755,92,1704,731,elasticnet,saga,0.303477356308485,3228,balanced,False,0.006488182096824385,0.5960335537836029
0.6676,0.6336,0.6902,0.6036,0.3195,0.7327,185,303,136,107,BioBERT,768,0.7316,85,1704,731,l2,saga,0.039325331786273454,4262,,False,0.0002222231442727931,
0.6539,0.5822,0.7016,0.5734,0.2824,0.7233,170,308,131,122,ESMC,1152,0.7265,63,1704,731,l2,liblinear,0.008871840634018573,4472,balanced,True,8.487860934696093e-06,
