Rank,Dataset,CV_AUC,Accuracy,Sensitivity,Specificity,F1_Score,MCC,AUC,Best_Trial,Features
1,ESM2,0.755,0.699,0.6747,0.7153,0.6417,0.3847,0.7475,92,1280
2,ProtT5,0.7043,0.6648,0.6712,0.6606,0.6154,0.3256,0.7382,72,1024
3,BioBERT,0.7316,0.6676,0.6336,0.6902,0.6036,0.3195,0.7327,85,768
4,ESMC,0.7265,0.6539,0.5822,0.7016,0.5734,0.2824,0.7233,63,1152
5,ProtBERT,0.6444,0.6662,0.3596,0.8702,0.4626,0.2709,0.6614,81,1024
6,DPC,0.5981,0.5746,0.5719,0.5763,0.5178,0.1453,0.5835,57,400
7,AAC,0.5809,0.5349,0.5582,0.5194,0.4895,0.076,0.5714,49,20
8,PAAC,0.5873,0.5376,0.6096,0.4897,0.513,0.0978,0.564,92,23
9,CTDC,0.5597,0.5239,0.5548,0.5034,0.4821,0.0571,0.5302,25,21
10,CTDT,0.5457,0.5308,0.5411,0.5239,0.4795,0.0637,0.52,71,21
11,GAAC,0.5268,0.4911,0.5685,0.4396,0.4716,0.008,0.5115,73,5
