y_true,y_pred,prob_positive,prob_negative
0,0,0.20516809822046816,0.7948319017795318
1,0,0.48449103840716845,0.5155089615928315
0,0,0.2463360810428949,0.753663918957105
1,0,0.16508155535273233,0.8349184446472677
1,1,0.7243307974684828,0.27566920253151717
0,0,0.40458830648045896,0.595411693519541
0,0,0.10081397597275928,0.8991860240272407
0,1,0.7857309962593966,0.21426900374060343
1,1,0.934483958346484,0.06551604165351599
1,0,0.3284837906754557,0.6715162093245444
1,1,0.8009163017374673,0.1990836982625327
0,0,0.13957539441118702,0.860424605588813
0,0,0.37171280852679434,0.6282871914732057
1,1,0.6227747314381475,0.37722526856185246
1,1,0.506171071564369,0.493828928435631
1,1,0.8087944821756059,0.1912055178243941
0,0,0.250698323411767,0.749301676588233
0,0,0.18919315217491026,0.8108068478250897
1,0,0.17067815738325334,0.8293218426167467
0,0,0.2327065948567916,0.7672934051432084
1,1,0.9275690957426644,0.07243090425733556
0,0,0.42888042826435935,0.5711195717356407
0,0,0.08153438855323465,0.9184656114467653
1,0,0.03993080057511717,0.9600691994248828
0,0,0.3207591575240744,0.6792408424759255
1,0,0.32367821053794044,0.6763217894620596
0,1,0.6343955052938083,0.3656044947061917
0,0,0.3755429364597028,0.6244570635402972
0,0,0.3003275581776568,0.6996724418223432
0,1,0.8894128177731002,0.11058718222689978
1,1,0.892316989577445,0.10768301042255501
0,0,0.36127634872656683,0.6387236512734331
0,0,0.2219938525599527,0.7780061474400473
0,0,0.38318772013955227,0.6168122798604477
0,0,0.4438745779170647,0.5561254220829353
1,0,0.4866832960564014,0.5133167039435986
0,1,0.8247737867238679,0.17522621327613208
0,0,0.1714543223075437,0.8285456776924562
0,0,0.04266701745552545,0.9573329825444745
0,0,0.2395172569767128,0.7604827430232872
1,1,0.7211295712348161,0.27887042876518386
0,1,0.554056834134348,0.44594316586565197
0,0,0.13892036433661722,0.8610796356633827
1,1,0.604648140115185,0.395351859884815
1,0,0.09036082626704953,0.9096391737329504
0,1,0.8631138365109483,0.1368861634890517
1,1,0.8839454405675515,0.11605455943244847
0,0,0.203975222805864,0.796024777194136
1,1,0.7580347811766286,0.2419652188233714
0,0,0.2599623445704699,0.74003765542953
0,1,0.5225479552206337,0.4774520447793663
1,1,0.5785494664480653,0.42145053355193474
0,0,0.4441220758838032,0.5558779241161969
1,0,0.3204989083097031,0.6795010916902968
1,1,0.659449593091415,0.34055040690858496
0,0,0.09864053958207723,0.9013594604179228
0,0,0.4981141046442891,0.5018858953557108
0,0,0.11646184751837141,0.8835381524816286
1,0,0.14852217673236384,0.8514778232676361
1,0,0.2633394405201211,0.736660559479879
0,0,0.48872847539365477,0.5112715246063453
1,0,0.2879431713053601,0.7120568286946398
0,1,0.5202543381530856,0.47974566184691436
0,1,0.6959195395399785,0.30408046046002146
1,1,0.923271721830405,0.07672827816959504
0,0,0.29220540339680307,0.7077945966031969
1,0,0.24466346585564686,0.7553365341443532
1,0,0.36131551210410595,0.638684487895894
1,0,0.2533756483404764,0.7466243516595237
1,1,0.6246831750705296,0.3753168249294704
1,1,0.5822887329821576,0.41771126701784245
0,0,0.10781397481964484,0.8921860251803552
0,0,0.126769534822559,0.873230465177441
0,1,0.6408475730272742,0.35915242697272576
1,1,0.5063383129019803,0.4936616870980197
1,1,0.7776503819689328,0.22234961803106723
0,0,0.3540042082222742,0.6459957917777258
0,0,0.1997055159934352,0.8002944840065648
0,0,0.1037927516643992,0.8962072483356008
1,0,0.4503294385226553,0.5496705614773447
1,1,0.6465453163788325,0.3534546836211675
0,0,0.1680550259799969,0.8319449740200031
0,0,0.32565585290153304,0.674344147098467
0,0,0.3272833461921787,0.6727166538078213
0,0,0.1337123128276956,0.8662876871723044
0,0,0.3070600692106136,0.6929399307893864
1,1,0.6508342050891528,0.3491657949108472
0,0,0.25886059716514664,0.7411394028348534
0,1,0.7692460863593575,0.23075391364064246
0,1,0.6631794257504182,0.3368205742495818
0,0,0.21346684725297038,0.7865331527470296
0,0,0.36556406216574594,0.6344359378342541
0,0,0.29229547029713215,0.7077045297028679
0,0,0.24587287712022482,0.7541271228797752
0,0,0.1691251340842972,0.8308748659157028
1,1,0.8574496209444596,0.14255037905554035
0,0,0.10208856899217868,0.8979114310078213
1,1,0.8795826280182667,0.1204173719817333
1,1,0.7145449557492705,0.28545504425072954
1,1,0.9573693460524018,0.04263065394759824
0,0,0.257704073847165,0.742295926152835
0,0,0.16539480230641287,0.8346051976935871
0,0,0.3207861767144038,0.6792138232855962
0,0,0.33205573071541694,0.6679442692845831
0,1,0.889002419142594,0.11099758085740596
0,0,0.3812050346525709,0.6187949653474292
0,0,0.2714977840406974,0.7285022159593026
0,0,0.27991969548824686,0.7200803045117532
0,0,0.30200554095822585,0.6979944590417742
1,0,0.4577017356602471,0.5422982643397529
0,0,0.12265646765839838,0.8773435323416017
1,0,0.2391325851001833,0.7608674148998167
1,0,0.1486851783995603,0.8513148216004397
0,1,0.6471831418171594,0.3528168581828406
0,0,0.3882476555221895,0.6117523444778106
0,1,0.6826070004734036,0.3173929995265964
0,1,0.8019818989853259,0.1980181010146741
1,0,0.4782302355756601,0.52176976442434
1,0,0.20128271291058375,0.7987172870894163
1,1,0.6308073808638298,0.3691926191361702
1,1,0.7023420741956674,0.2976579258043326
1,1,0.7532609428820631,0.24673905711793687
0,0,0.4081382353482148,0.5918617646517852
0,0,0.3174242657969791,0.682575734203021
1,0,0.2385628336852515,0.7614371663147486
1,0,0.3054828183945205,0.6945171816054795
0,0,0.2618305581367663,0.7381694418632336
1,0,0.20355696597516026,0.7964430340248397
0,0,0.37751926295467697,0.622480737045323
0,1,0.6220590010993622,0.3779409989006378
1,1,0.6410926032325447,0.3589073967674553
0,1,0.5659284279245098,0.4340715720754902
0,1,0.6744969553610743,0.32550304463892565
1,1,0.5999350279170335,0.40006497208296654
0,0,0.24235279865864512,0.7576472013413549
0,1,0.763564968073098,0.23643503192690196
0,1,0.5688702612117567,0.43112973878824334
0,0,0.1500565303224983,0.8499434696775017
0,0,0.2841385985422689,0.7158614014577311
0,0,0.2804695988952767,0.7195304011047233
1,1,0.8227093507759309,0.17729064922406912
0,0,0.2488592373400516,0.7511407626599484
1,1,0.9273424983259779,0.07265750167402207
1,1,0.534754403674771,0.465245596325229
1,1,0.5113951144125658,0.4886048855874342
1,0,0.3300074700197938,0.6699925299802062
0,0,0.07815164155636888,0.9218483584436311
1,1,0.6762203834333173,0.32377961656668275
1,1,0.9945325400309005,0.005467459969099475
1,0,0.38943028583957245,0.6105697141604276
1,1,0.9888155096631673,0.011184490336832664
1,1,0.7437533843093392,0.25624661569066076
0,0,0.34755382371726934,0.6524461762827307
0,0,0.31420658593917533,0.6857934140608246
1,1,0.5993465909274018,0.40065340907259817
0,0,0.40641468928544916,0.5935853107145508
1,1,0.5492069332775511,0.4507930667224489
1,0,0.354418745215546,0.6455812547844539
1,1,0.8015980060915898,0.19840199390841018
1,1,0.9812486545737219,0.0187513454262781
1,0,0.41879985547439585,0.5812001445256041
1,1,0.8900469721834963,0.10995302781650373
1,1,0.8770616459270698,0.12293835407293019
0,0,0.2237630892779537,0.7762369107220464
1,1,0.6142598620225113,0.38574013797748874
0,1,0.9140874179192084,0.08591258208079156
0,0,0.3236256503388431,0.676374349661157
