Accuracy,Sensitivity,Specificity,F1_Score,MCC,AUC,TP,TN,FP,FN,Dataset,Features,CV_AUC,Best_Trial,Train_N,Test_N,param_bootstrap,param_max_samples,param_n_estimators,param_criterion,param_min_samples_split,param_min_samples_leaf,param_max_features,param_class_weight,param_min_impurity_decrease,param_max_depth
0.7976,0.6654,0.8858,0.7246,0.5722,0.8296,175,349,45,88,AAC,20,0.8162,99,1533,657,True,0.6583520249828752,191,log_loss,8,3,log2,balanced,0.0012237867299269652,
0.7717,0.5894,0.8934,0.6739,0.5162,0.8227,155,352,42,108,DPC,400,0.8216,90,1533,657,True,0.9803814995345721,132,log_loss,15,1,log2,,1.5455114662805828e-05,
0.7823,0.616,0.8934,0.6938,0.5394,0.8216,162,352,42,101,CTDC,21,0.8113,60,1533,657,True,0.547479182831336,384,entropy,16,11,0.7,,0.005415632916729031,
0.8097,0.711,0.8756,0.7495,0.5991,0.8104,187,345,49,76,CTDT,21,0.8065,84,1533,657,True,0.72441775642484,474,entropy,6,8,0.7,balanced_subsample,0.006403584325043274,10.0
0.8021,0.6578,0.8985,0.7269,0.5823,0.805,173,354,40,90,GAAC,5,0.8031,83,1533,657,False,,248,log_loss,8,12,0.5,,0.0014807178587333642,9.0
0.7489,0.5779,0.8629,0.6482,0.4656,0.7927,152,340,54,111,PAAC,23,0.7833,97,1533,657,True,0.7481423588910618,326,log_loss,4,1,1.0,balanced_subsample,0.003328244110057991,26.0
0.6697,0.3612,0.8756,0.4668,0.2805,0.6466,95,345,49,168,ProtBERT,1024,0.6537,73,1533,657,True,0.5514901852652541,391,entropy,9,9,0.5,balanced,0.008217184285354673,
0.7002,0.4068,0.8959,0.5207,0.3551,0.7158,107,353,41,156,ProtT5,1024,0.7444,81,1533,657,True,0.8964889166933819,398,log_loss,7,3,0.5,balanced_subsample,0.0048911766938041475,
0.688,0.4373,0.8553,0.5287,0.3261,0.704,115,337,57,148,ESM2,1280,0.7182,86,1533,657,True,0.687891131093872,481,entropy,6,4,0.5,balanced_subsample,0.008867626117070792,
0.7154,0.4601,0.8858,0.5641,0.39,0.7209,121,349,45,142,BioBERT,768,0.7542,95,1533,657,True,0.9310076097236198,314,log_loss,12,6,0.3,,4.171351415554331e-05,
0.7139,0.4335,0.901,0.5481,0.3877,0.7187,114,355,39,149,ESMC,1152,0.7121,41,1533,657,True,0.9126730837092979,316,entropy,5,2,0.5,balanced_subsample,0.0064967594981592885,
