iter	Logloss
0	0.6879512703
1	0.6826968489
2	0.6777993642
3	0.6736304559
4	0.6684263511
5	0.6640430677
6	0.6595937978
7	0.6555917101
8	0.6516807067
9	0.6479486193
10	0.6433030948
11	0.6402381807
12	0.6365945651
13	0.6322249962
14	0.6281050989
15	0.6247533658
16	0.6209850931
17	0.6167338177
18	0.6124696293
19	0.6082629491
20	0.6047908159
21	0.6013252462
22	0.5967169178
23	0.5935298566
24	0.5896690069
25	0.5864638771
26	0.5842393345
27	0.5810341523
28	0.5785584057
29	0.5759397655
30	0.5725632895
31	0.5699803263
32	0.5667121037
33	0.5630363103
34	0.5596320869
35	0.5563856966
36	0.5538718789
37	0.551541765
38	0.5487120021
39	0.5457341033
40	0.5428497124
41	0.5405385701
42	0.5380095546
43	0.5352495778
44	0.5321861055
45	0.5287117304
46	0.5255436281
47	0.5229204295
48	0.520476864
49	0.5186733551
50	0.5165308901
51	0.5148011168
52	0.5125118284
53	0.5092581047
54	0.5067062874
55	0.5041208786
56	0.5022455953
57	0.4994784565
58	0.4969097451
59	0.4950399567
60	0.491861068
61	0.4889414788
62	0.4869793428
63	0.4849237343
64	0.4826933888
65	0.4805653721
66	0.4778325147
67	0.4758902235
68	0.4729401286
69	0.469691774
70	0.4679272589
71	0.4664855253
72	0.464358244
73	0.4620162698
74	0.4598441215
75	0.4580460046
76	0.4557082929
77	0.453489962
78	0.4505761331
79	0.4492782336
80	0.4478740718
81	0.4459257031
82	0.4446648282
83	0.4419912834
84	0.4400837274
85	0.4374331051
86	0.435648886
87	0.4340961163
88	0.4326064863
89	0.4303808351
90	0.4290214312
91	0.4272004774
92	0.4255289326
93	0.4229622762
94	0.4211423594
95	0.4193890004
96	0.4180392535
97	0.4167351264
