Rank,Dataset,Depth_used,Best_iter,Accuracy,Sensitivity,Specificity,F1_Score,MCC,AUC,Features
1,CTDC,5,98,0.7808,0.7262,0.8173,0.7262,0.5435,0.8204,21
2,AAC,8,98,0.7793,0.711,0.8249,0.7206,0.5384,0.8194,20
3,GAAC,7,34,0.793,0.6844,0.8655,0.7258,0.5632,0.8161,5
4,CTDT,7,93,0.79,0.711,0.8426,0.7305,0.5592,0.8128,21
5,DPC,7,95,0.7002,0.7338,0.6777,0.6621,0.4034,0.7744,400
6,PAAC,8,99,0.7199,0.6312,0.7792,0.6434,0.4132,0.7592,23
7,BioBERT,7,48,0.6956,0.5779,0.7741,0.6032,0.3579,0.7138,768
8,ESMC,7,77,0.7047,0.5361,0.8173,0.5924,0.3699,0.709,1152
9,ProtT5,8,98,0.7002,0.5209,0.8198,0.5817,0.3589,0.6989,1024
10,ESM2,8,86,0.6743,0.5323,0.769,0.5668,0.3092,0.6945,1280
11,ProtBERT,6,91,0.6164,0.5399,0.6675,0.5299,0.2062,0.6395,1024
