Rank,Dataset,CV_AUC,Accuracy,Sensitivity,Specificity,F1_Score,MCC,AUC,Best_Trial,Features
1,AAC,0.7441,0.7114,0.3733,0.9362,0.5082,0.3885,0.7524,15,20
2,BioBERT,0.7113,0.6963,0.3938,0.8975,0.5088,0.3451,0.7158,31,768
3,PAAC,0.7156,0.6731,0.3425,0.8929,0.4556,0.2877,0.7017,30,23
4,DPC,0.683,0.6566,0.4144,0.8178,0.4909,0.2547,0.7011,18,400
5,ESMC,0.6939,0.6785,0.3493,0.8975,0.4647,0.3016,0.6997,41,1152
6,ProtT5,0.6857,0.6799,0.3973,0.8679,0.4979,0.3049,0.6927,29,1024
7,CTDT,0.6651,0.6471,0.3219,0.8633,0.4215,0.2225,0.6826,52,21
8,ESM2,0.6825,0.6594,0.3459,0.8679,0.4479,0.2538,0.6755,19,1280
9,CTDC,0.6405,0.6334,0.2192,0.9089,0.3232,0.1796,0.6693,43,21
10,GAAC,0.6751,0.6279,0.274,0.8633,0.3704,0.1709,0.6386,50,5
11,ProtBERT,0.6047,0.6594,0.2637,0.9226,0.3821,0.2542,0.6197,12,1024
