Rank,Dataset,CV_AUC,Accuracy,Sensitivity,Specificity,F1_Score,MCC,AUC,Best_Trial,Features
1,ProtT5,0.7269,0.7264,0.5959,0.8132,0.635,0.42,0.7734,4,1024
2,ESM2,0.7556,0.71,0.5171,0.8383,0.5875,0.3785,0.754,60,1280
3,BioBERT,0.7383,0.7237,0.5753,0.8223,0.6245,0.4122,0.7468,68,768
4,ESMC,0.7419,0.725,0.5068,0.8702,0.5956,0.4111,0.7424,73,1152
5,DPC,0.6983,0.4378,0.9589,0.0911,0.5767,0.0953,0.7163,60,400
6,ProtBERT,0.6589,0.6005,0.0,1.0,0.0,0.0,0.6811,32,1024
7,PAAC,0.6294,0.6306,0.339,0.8246,0.4231,0.1875,0.6199,77,23
8,AAC,0.6207,0.5677,0.5651,0.5695,0.5108,0.1319,0.6188,15,20
9,CTDT,0.5881,0.5609,0.5925,0.5399,0.5187,0.1297,0.6164,90,21
10,CTDC,0.5817,0.539,0.5753,0.5148,0.4993,0.0884,0.5758,53,21
11,GAAC,0.6078,0.3995,1.0,0.0,0.5709,0.0,0.4278,28,5
