Accuracy,Sensitivity,Specificity,F1_Score,MCC,AUC,TP,TN,FP,FN,Dataset,Features,NB_Type,CV_AUC,Best_Trial,Train_N,Test_N,param_nb_type,param_alpha,param_binarize,param_class_prior_pos
0.6676,0.4829,0.7904,0.5371,0.2873,0.6637,141,347,92,151,AAC,20,bernoulli,0.6976,96,1704,731,bernoulli,0.23174936116904055,0.1516999598518423,0.4931801086921123
0.7715,0.6712,0.8383,0.7013,0.5183,0.7769,196,368,71,96,DPC,400,bernoulli,0.7664,79,1704,731,bernoulli,0.23928914141882496,0.49951893883895954,0.6443450732861411
0.5773,0.2877,0.7699,0.3522,0.0649,0.5653,84,338,101,208,CTDC,21,bernoulli,0.5927,98,1704,731,bernoulli,3.385143570799025,0.593875876221196,0.30878806562714184
0.6183,0.387,0.7722,0.4475,0.1716,0.6118,113,339,100,179,CTDT,21,bernoulli,0.6546,61,1704,731,bernoulli,0.009218917781736344,0.18366209239761494,0.6254179429886841
0.6115,0.2123,0.877,0.3039,0.1197,0.5861,62,385,54,230,GAAC,5,bernoulli,0.5984,83,1704,731,bernoulli,2.573326065333767,0.13761683062784863,0.315215663462923
0.6416,0.3836,0.8132,0.4609,0.2183,0.6572,112,357,82,180,PAAC,23,bernoulli,0.6536,81,1704,731,bernoulli,0.027026881342881316,0.17728681411428357,0.4279657418840772
0.5718,0.4281,0.6674,0.444,0.0969,0.5583,125,293,146,167,ProtBERT,1024,bernoulli,0.589,81,1704,731,bernoulli,0.010021339102702644,0.3127566501023742,0.4681284888547553
0.6211,0.5753,0.6515,0.5481,0.2239,0.6524,168,286,153,124,ProtT5,1024,bernoulli,0.6529,99,1704,731,bernoulli,0.976956518101987,0.7032919677406188,0.43875960894201516
0.632,0.5514,0.6856,0.5448,0.2361,0.6696,161,301,138,131,ESM2,1280,bernoulli,0.6648,93,1704,731,bernoulli,0.0018493832567495142,0.6922533055534704,0.4241993910231276
0.6744,0.5959,0.7267,0.5939,0.3222,0.6973,174,319,120,118,BioBERT,768,bernoulli,0.6808,81,1704,731,bernoulli,0.8023339635593604,0.2961784375437159,0.5735320904116581
0.6525,0.4692,0.7745,0.5189,0.2552,0.6783,137,340,99,155,ESMC,1152,bernoulli,0.6733,81,1704,731,bernoulli,0.15063958957171272,0.3317524772129789,0.4655800362847606
