Rank,Dataset,CV_AUC,Accuracy,Sensitivity,Specificity,F1_Score,MCC,AUC,Best_Trial,Features
1,CTDC,0.8168,0.6788,0.8783,0.5457,0.6865,0.4289,0.8317,31,21
2,CTDT,0.81,0.7717,0.7719,0.7716,0.7302,0.5357,0.8243,42,21
3,AAC,0.8298,0.8006,0.711,0.8604,0.7406,0.5804,0.8207,98,20
4,DPC,0.8189,0.7382,0.7871,0.7056,0.7065,0.4828,0.8156,75,400
5,GAAC,0.8131,0.7869,0.6806,0.8579,0.7189,0.5504,0.813,99,5
6,PAAC,0.8027,0.7412,0.7262,0.7513,0.692,0.4713,0.7985,81,23
7,ProtT5,0.7439,0.6758,0.5741,0.7437,0.5864,0.3202,0.7153,60,1024
8,ESM2,0.729,0.6895,0.5932,0.7538,0.6047,0.3493,0.7152,78,1280
9,BioBERT,0.7577,0.6484,0.6502,0.6472,0.5969,0.2919,0.7146,84,768
10,ESMC,0.7252,0.6728,0.6046,0.7183,0.5966,0.3215,0.7117,85,1152
11,ProtBERT,0.6672,0.653,0.5209,0.7411,0.5458,0.2669,0.6726,48,1024
