Rank,Dataset,CV_AUC,Best_Iter,Accuracy,Sensitivity,Specificity,F1_Score,MCC,AUC,Best_Trial,Features
1,DPC,0.8227,185,0.7866,0.6473,0.8793,0.7079,0.548,0.8224,93,400
2,CTDC,0.8134,119,0.7989,0.7158,0.8542,0.7398,0.5771,0.8123,22,21
3,CTDT,0.8069,120,0.7715,0.6884,0.8269,0.7065,0.5202,0.8113,24,21
4,AAC,0.8279,30,0.7989,0.6644,0.8884,0.7252,0.5747,0.8078,91,20
5,GAAC,0.8088,18,0.7921,0.5959,0.9226,0.696,0.5628,0.8039,21,5
6,PAAC,0.7976,88,0.7456,0.6027,0.8405,0.6543,0.4595,0.7815,84,23
7,BioBERT,0.7449,105,0.7332,0.5137,0.8793,0.6061,0.4298,0.7583,71,768
8,ProtT5,0.7281,153,0.7045,0.476,0.8565,0.5628,0.3642,0.7422,62,1024
9,ESMC,0.7133,139,0.6908,0.4007,0.8838,0.5087,0.3312,0.7137,54,1152
10,ESM2,0.7119,83,0.6854,0.5,0.8087,0.5594,0.3255,0.7129,30,1280
11,ProtBERT,0.6179,68,0.6375,0.4144,0.7859,0.4773,0.2153,0.6595,11,1024
