Accuracy,Sensitivity,Specificity,F1_Score,MCC,AUC,TP,TN,FP,FN,Dataset,Features,CV_AUC,Best_Trial,Best_Iter,Train_N,Test_N,param_iterations,param_depth,param_learning_rate,param_l2_leaf_reg,param_random_strength,param_bagging_temperature,param_border_count,param_grow_policy,param_min_data_in_leaf,param_leaf_estimation_method,param_class_weights
0.7989,0.6644,0.8884,0.7252,0.5747,0.8078,194,390,49,98,AAC,20,0.8279,91,30,1704,731,362,6,0.06086345951529628,0.002088967922999206,0.0005267412561473546,0.34625485649349735,115,SymmetricTree,42,Gradient,"[1.0, 1.175942739580917]"
0.7866,0.6473,0.8793,0.7079,0.548,0.8224,189,386,53,103,DPC,400,0.8227,93,185,1704,731,356,9,0.16932042294768004,0.5647604998986604,3.83357817176441e-05,0.22625843049784536,157,Depthwise,3,Gradient,"[1.0, 1.0917668582531892]"
0.7989,0.7158,0.8542,0.7398,0.5771,0.8123,209,375,64,83,CTDC,21,0.8134,22,119,1704,731,314,3,0.22726450167935866,3.37600975735303,0.00023681607408289503,0.5037169413579844,180,SymmetricTree,35,Gradient,"[1.0, 1.3542721462839442]"
0.7715,0.6884,0.8269,0.7065,0.5202,0.8113,201,363,76,91,CTDT,21,0.8069,24,120,1704,731,293,5,0.10036527925451622,0.01926610750332587,6.0998979281952334e-09,0.2580030548129714,35,Lossguide,30,Gradient,"[1.0, 1.4708369704427322]"
0.7921,0.5959,0.9226,0.696,0.5628,0.8039,174,405,34,118,GAAC,5,0.8088,21,18,1704,731,352,4,0.13737715749192697,0.009419764524068445,0.000633046810409285,0.564170253277985,77,SymmetricTree,19,Gradient,"[1.0, 1.0342581353096807]"
0.7456,0.6027,0.8405,0.6543,0.4595,0.7815,176,369,70,116,PAAC,23,0.7976,84,88,1704,731,252,10,0.07417996934962008,4.336966458641839,0.022570850073664682,0.19548395981192881,227,Lossguide,43,Newton,"[1.0, 1.3681641222799428]"
0.6375,0.4144,0.7859,0.4773,0.2153,0.6595,121,345,94,171,ProtBERT,1024,0.6179,11,68,1704,731,295,10,0.005765728763129735,0.3007016232607128,1.5368363099811402e-09,0.4001017219296104,33,Lossguide,16,Gradient,"[1.0, 1.5106236438203147]"
0.7045,0.476,0.8565,0.5628,0.3642,0.7422,139,376,63,153,ProtT5,1024,0.7281,62,153,1704,731,405,10,0.02232851000001986,0.0017982648924397067,7.598050361084385e-08,0.3775153228519102,166,Depthwise,25,Gradient,"[1.0, 1.8137651160219368]"
0.6854,0.5,0.8087,0.5594,0.3255,0.7129,146,355,84,146,ESM2,1280,0.7119,30,83,1704,731,497,4,0.06739230130754793,0.1607597958374054,2.5853398983026732e-08,0.3765283148848235,182,Depthwise,46,Gradient,"[1.0, 1.2954890565778274]"
0.7332,0.5137,0.8793,0.6061,0.4298,0.7583,150,386,53,142,BioBERT,768,0.7449,71,105,1704,731,446,7,0.04417351486976436,0.09038783782159326,2.6693920561952584e-05,0.2809851506987555,115,Depthwise,7,Gradient,"[1.0, 1.1809973092457147]"
0.6908,0.4007,0.8838,0.5087,0.3312,0.7137,117,388,51,175,ESMC,1152,0.7133,54,139,1704,731,156,9,0.007566125088356376,1.6667864390980935,3.0509075599605206e-07,0.8100078310638421,253,Depthwise,16,Gradient,"[1.0, 1.2785014372754246]"
