seq_id,PAAC_A,PAAC_C,PAAC_D,PAAC_E,PAAC_F,PAAC_G,PAAC_H,PAAC_I,PAAC_K,PAAC_L,PAAC_M,PAAC_N,PAAC_P,PAAC_Q,PAAC_R,PAAC_S,PAAC_T,PAAC_V,PAAC_W,PAAC_Y,PAAC_T1,PAAC_T2,PAAC_T3,label
pos_0,0.064302,0.0,0.064302,0.0,0.064302,0.0,0.0,0.064302,0.0,0.064302,0.0,0.0,0.064302,0.0,0.064302,0.128603,0.0,0.192905,0.0,0.0,0.077808,0.07476,0.075811,1
pos_1,0.102096,0.0,0.051048,0.051048,0.0,0.204192,0.0,0.0,0.102096,0.0,0.0,0.0,0.051048,0.0,0.0,0.051048,0.0,0.102096,0.0,0.051048,0.089679,0.063928,0.080674,1
pos_2,0.127233,0.0,0.042411,0.084822,0.0,0.042411,0.042411,0.0,0.0,0.169644,0.0,0.0,0.0,0.0,0.042411,0.084822,0.042411,0.042411,0.0,0.042411,0.082992,0.08135,0.07226,1
pos_3,0.0,0.0,0.028831,0.057663,0.115326,0.0,0.0,0.057663,0.086494,0.028831,0.0,0.028831,0.028831,0.028831,0.028831,0.086494,0.0,0.086494,0.028831,0.086494,0.07072,0.085236,0.065595,1
pos_4,0.0,0.0,0.048038,0.0,0.072057,0.0,0.024019,0.024019,0.168133,0.072057,0.024019,0.024019,0.024019,0.048038,0.0,0.024019,0.096076,0.096076,0.024019,0.0,0.069036,0.089403,0.072955,1
pos_5,0.077505,0.0,0.077505,0.038753,0.038753,0.077505,0.038753,0.038753,0.077505,0.038753,0.038753,0.0,0.0,0.038753,0.038753,0.038753,0.0,0.077505,0.0,0.038753,0.076303,0.094923,0.053724,1
pos_6,0.0,0.0,0.050398,0.0,0.050398,0.0,0.0,0.050398,0.0,0.050398,0.0,0.0,0.0,0.0,0.050398,0.151194,0.151194,0.0,0.050398,0.151194,0.083654,0.090087,0.070288,1
pos_7,0.064546,0.0,0.064546,0.129092,0.0,0.0,0.0,0.0,0.161366,0.064546,0.0,0.0,0.0,0.129092,0.129092,0.0,0.032273,0.0,0.0,0.0,0.074231,0.078774,0.072441,1
pos_8,0.158983,0.0,0.052994,0.052994,0.052994,0.105989,0.0,0.105989,0.0,0.158983,0.0,0.0,0.052994,0.0,0.0,0.105989,0.0,0.0,0.0,0.0,0.055684,0.048044,0.048363,1
pos_9,0.0,0.0,0.044653,0.044653,0.089306,0.044653,0.0,0.133958,0.133958,0.0,0.0,0.0,0.0,0.044653,0.089306,0.0,0.0,0.044653,0.0,0.0,0.110859,0.14478,0.074569,1
pos_10,0.151132,0.0,0.151132,0.050377,0.0,0.0,0.0,0.0,0.100755,0.050377,0.100755,0.050377,0.0,0.0,0.050377,0.0,0.050377,0.0,0.0,0.0,0.085121,0.076372,0.082845,1
