Dataset,iterations,depth,learning_rate,l2_leaf_reg,random_strength,bagging_temperature,border_count,grow_policy,min_data_in_leaf,leaf_estimation_method,class_weights,best_iter,CV_AUC,Test_AUC
AAC,460,4,0.10568529720322861,0.017654048052495083,0.0001587377469278184,0.5467102793432796,73,SymmetricTree,45,Gradient,"[1.0, 1.0687770422304368]",38,0.8348,0.8192
DPC,174,10,0.08638040321240022,0.0023285851012169244,1.2171869052454277e-07,0.16127422374579395,166,Depthwise,5,Gradient,"[1.0, 1.0381439942441921]",79,0.8308,0.8468
CTDC,413,3,0.12806101977813106,0.0745821075966061,2.5772748495303843,0.3447787612535067,85,SymmetricTree,26,Newton,"[1.0, 1.6903539123373768]",119,0.8199,0.8186
CTDT,115,4,0.09747050921020066,0.3362041549304674,3.642359574162268e-07,0.6836004951205308,53,SymmetricTree,12,Newton,"[1.0, 1.0010214109598994]",84,0.8142,0.8264
GAAC,235,4,0.21534071693761292,4.353591443776849,0.0531678993028823,0.2906200771831112,156,SymmetricTree,20,Gradient,"[1.0, 1.161682654180023]",15,0.8162,0.8139
PAAC,102,10,0.030218881829551188,0.009834778968289054,0.10295868973575906,0.8856289040797893,46,Lossguide,37,Gradient,"[1.0, 1.0686116805232082]",101,0.7891,0.7899
ProtBERT,296,8,0.03167549781951881,0.008216597003298977,2.833707282237226e-07,0.7253055378919553,65,Lossguide,18,Gradient,"[1.0, 1.084533729039412]",59,0.6562,0.6496
ProtT5,154,8,0.043195842269144254,0.9005252361832015,0.04588589982279741,0.18862780889467995,238,Depthwise,8,Newton,"[1.0, 1.4503568752307712]",151,0.7433,0.7237
ESM2,282,9,0.06713352572053626,0.12408558756947143,3.9672425296454935e-09,0.8594047215512983,79,Lossguide,46,Gradient,"[1.0, 1.6738526410995114]",20,0.7249,0.6843
BioBERT,187,9,0.06543411733326643,0.02997540216078765,1.1183148677914257e-05,0.08741570747715358,59,Lossguide,45,Gradient,"[1.0, 1.310059067624485]",83,0.7577,0.7356
ESMC,115,3,0.24298863676482868,2.5461597956598268,1.8079211304160693e-05,0.4160678332684129,245,Depthwise,32,Gradient,"[1.0, 1.6832446427651742]",16,0.722,0.6859
