Rank,Dataset,Variant_used,Var_smoothing,Accuracy,Sensitivity,Specificity,F1_Score,MCC,AUC,Features
1,DPC,BernoulliNB,N/A,0.7565,0.6575,0.8223,0.6833,0.487,0.7716,400
2,BioBERT,BernoulliNB,N/A,0.6484,0.6164,0.6697,0.5835,0.282,0.7009,768
3,ESMC,GaussianNB,0.1,0.6689,0.4829,0.7927,0.5382,0.29,0.678,1152
4,ESM2,ComplementNB,N/A,0.6306,0.5685,0.672,0.5515,0.2383,0.667,1280
5,ProtT5,BernoulliNB,N/A,0.6512,0.5753,0.7016,0.5685,0.2759,0.6529,1024
6,PAAC,GaussianNB,1e-09,0.5417,0.6096,0.4966,0.5152,0.1044,0.5897,23
7,AAC,GaussianNB,1e-09,0.5513,0.5342,0.5626,0.4875,0.095,0.5793,20
8,ProtBERT,BernoulliNB,N/A,0.5622,0.4555,0.6333,0.4539,0.0886,0.5642,1024
9,CTDC,BernoulliNB,N/A,0.5992,0.2671,0.82,0.3474,0.104,0.5566,21
10,CTDT,GaussianNB,1e-09,0.5581,0.3938,0.6674,0.4159,0.0626,0.5412,21
11,GAAC,BernoulliNB,N/A,0.5855,0.0308,0.9544,0.0561,-0.037,0.526,5
